|model   |w_bit  |f bit  |f Qscheme         |groupsize|top1 acc|top5 acc|remark           |
|resnet18|4      |8      |per-group-affine     |8        |67.962  |87.984  |no reorder            |
|resnet18|4      |8      |per-group-affine     |8        |68.634  |88.474  |reorder by abs-max    |
|resnet18|4      |8      |per-group-affine     |8        |68.616  |88.428  |reorder by max        |
|resnet50|4      |8      |per-group-affine     |8        |75.332  |92.708  |no reorder            |
|resnet50|4      |8      |per-group-affine     |8        |75.356  |92.642  |reorder by abs-max    |
|resnet50|4      |8      |per-group-affine     |8        |75.756  |92.760  |reorder by max        |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |                      |
|resnet18|4      |8      |per-group-affine     |32       |66.258(65.358)  |86.828(86.334)  |                      |
|resnet18|4      |8      |per-group-affine     |16       |68.124(67.006)  |88.124(87.544)  |                      |
|resnet18|4      |8      |per-group-affine     |8        |68.616(67.962)  |88.428(87.984)  |                      |
|resnet18|4      |8      |per-group-affine     |4        |68.796(68.268)  |88.524(88.238)  |                      |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |                      |
|resnet50|4      |8      |per-group-affine     |32       |75.494(74.498)  |92.532(91.970)  |                      |
|resnet50|4      |8      |per-group-affine     |16       |75.580(75.116)  |92.640(92.522)  |                      |
|resnet50|4      |8      |per-group-affine     |8        |75.756(75.332)  |92.760(92.708)  |                      |
|resnet50|4      |8      |per-group-affine     |4        |75.848(75.800)  |92.806(92.740)  |                      |



|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |4.02                  |
|resnet18|4      |8      |per-group-affine     |32       |66.258(+0.900)  |86.828(+0.494)  |4.14                  |
|resnet18|4      |8      |per-group-affine     |16       |68.124(+1.118)  |88.124(+0.580)  |4.28                  |
|resnet18|4      |8      |per-group-affine     |8        |68.616(+0.654)  |88.428(+0.444)  |4.56                  |
|resnet18|4      |8      |per-group-affine     |4        |68.796(+0.528)  |88.524(+0.286)  |5.12                  |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |4.04                  |
|resnet50|4      |8      |per-group-affine     |32       |75.494(+0.996)  |92.532(+0.562)  |4.64                  |
|resnet50|4      |8      |per-group-affine     |16       |75.580(+0.464)  |92.640(+0.118)  |5.28                  |
|resnet50|4      |8      |per-group-affine     |8        |75.756(+0.424)  |92.760(+0.052)  |6.57                  |
|resnet50|4      |8      |per-group-affine     |4        |75.848(+0.048)  |92.806(+0.066)  |9.14                  |





## &&
|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |                      |
|resnet18|4      |8      |per-group-affine     |32       |66.246(65.358)  |86.822(86.334)  |                      |
|resnet18|4      |8      |per-group-affine     |16       |68.162(67.006)  |88.222(87.544)  |                      |
|resnet18|4      |8      |per-group-affine     |8        |67.720(67.962)  |87.930(87.984)  |                      |
|resnet18|4      |8      |per-group-affine     |4        |68.388(68.268)  |88.304(88.238)  |                      |



|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |                      |
|resnet50|4      |8      |per-group-affine     |32       |75.296(74.498)  |92.442(91.970)  |                      |
|resnet50|4      |8      |per-group-affine     |16       |75.144(75.116)  |92.384(92.522)  |                      |
|resnet50|4      |8      |per-group-affine     |8        |75.376(75.332)  |92.518(92.708)  |                      |
|resnet50|4      |8      |per-group-affine     |4        |75.174(75.800)  |92.464(92.740)  |                      |


|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet18|float32|float32| /                   |/        |69.760          |89.082          |32                    |
|resnet18|4      |8      |per-channel-affine   |/        |60.712          |83.484          |4.02                      |
|resnet18|4      |8      |per-group-affine     |32       |66.246(+0.888)  |86.822(+0.488)  |4.06                      |
|resnet18|4      |8      |per-group-affine     |16       |68.162(+1.156)  |88.222(+0.678)  |4.09                      |
|resnet18|4      |8      |per-group-affine     |8        |67.720(-0.242)  |87.930(-0.054)  |4.15                      |
|resnet18|4      |8      |per-group-affine     |4        |68.388(+0.120)  |88.304(+0.066)  |4.28                      |
|resnet18|4      |8      |per-group-affine     |1        |68.814(-0.408)  |88.404(-0.358)  |5.03              |



|model   |w_bit  |f bit  |w Qscheme            |groupsize|top1 acc        |top5 acc        |Equivalent wbit       |
|---     |---    |---    |---                  |---      |---             |---             |---                   |
|resnet50|float32|float32| /                   |/        |76.146          |92.872          |32                    |
|resnet50|4      |8      |per-channel-affine   |/        |72.264          |90.944          |4.04                      |
|resnet50|4      |8      |per-group-affine     |32       |75.296(+0.798)  |92.442(+0.472)  |4.21                      |
